Category,Type,Character1,Pinyin1,Frequency1,Character2,Pinyin2,Frequency2,Difficulty,Notes
Complex,Retroflex-Dental: sh-z,是,shi4,1015,自,zi4,175,Hard,Alternating: 是是自是自自 (shi4-shi4-zi4-shi4-zi4-zi4)
Complex,Retroflex-Palatal: sh-q,是,shi4,1015,气,qi4,173,Hard,Alternating: 是是气是气气 (shi4-shi4-qi4-shi4-qi4-qi4)
Complex,Retroflex-Dental: sh-c,是,shi4,1015,次,ci4,76,Hard,Alternating: 是是次是次次 (shi4-shi4-ci4-shi4-ci4-ci4)
Complex,Retroflex-Dental: sh-z,是,shi4,1015,字,zi4,72,Hard,Alternating: 是是字是字字 (shi4-shi4-zi4-shi4-zi4-zi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,记,ji4,43,Hard,Alternating: 是是记是记记 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Dental: sh-s,是,shi4,1015,四,si4,37,Hard,Alternating: 是是四是四四 (shi4-shi4-si4-shi4-si4-si4)
Complex,Retroflex-Palatal: sh-x,是,shi4,1015,细,xi4,22,Hard,Alternating: 是是细是细细 (shi4-shi4-xi4-shi4-xi4-xi4)
Complex,Retroflex-Dental: sh-c,是,shi4,1015,刺,ci4,18,Hard,Alternating: 是是刺是刺刺 (shi4-shi4-ci4-shi4-ci4-ci4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,继,ji4,17,Hard,Alternating: 是是继是继继 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-x,是,shi4,1015,系,xi4,14,Hard,Alternating: 是是系是系系 (shi4-shi4-xi4-shi4-xi4-xi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,纪,ji4,10,Hard,Alternating: 是是纪是纪纪 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-q,是,shi4,1015,汽,qi4,9,Hard,Alternating: 是是汽是汽汽 (shi4-shi4-qi4-shi4-qi4-qi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,寂,ji4,8,Hard,Alternating: 是是寂是寂寂 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,际,ji4,8,Hard,Alternating: 是是际是际际 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-q,是,shi4,1015,泣,qi4,7,Hard,Alternating: 是是泣是泣泣 (shi4-shi4-qi4-shi4-qi4-qi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,迹,ji4,6,Hard,Alternating: 是是迹是迹迹 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-q,是,shi4,1015,器,qi4,4,Hard,Alternating: 是是器是器器 (shi4-shi4-qi4-shi4-qi4-qi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,剂,ji4,3,Hard,Alternating: 是是剂是剂剂 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,既,ji4,3,Hard,Alternating: 是是既是既既 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,寄,ji4,2,Hard,Alternating: 是是寄是寄寄 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-x,是,shi4,1015,戏,xi4,2,Hard,Alternating: 是是戏是戏戏 (shi4-shi4-xi4-shi4-xi4-xi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,计,ji4,2,Hard,Alternating: 是是计是计计 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-q,是,shi4,1015,弃,qi4,1,Hard,Alternating: 是是弃是弃弃 (shi4-shi4-qi4-shi4-qi4-qi4)
Complex,Retroflex-Palatal: sh-j,是,shi4,1015,忌,ji4,1,Hard,Alternating: 是是忌是忌忌 (shi4-shi4-ji4-shi4-ji4-ji4)
Complex,Retroflex-Palatal: sh-x,是,shi4,1015,隙,xi4,1,Hard,Alternating: 是是隙是隙隙 (shi4-shi4-xi4-shi4-xi4-xi4)
Complex,Retroflex-Dental: sh-s,是,shi4,1015,饲,si4,1,Hard,Alternating: 是是饲是饲饲 (shi4-shi4-si4-shi4-si4-si4)
Complex,Retroflex-Dental: sh-s,说,shuo1,692,缩,suo1,5,Hard,Alternating: 说说缩说缩缩 (shuo1-shuo1-suo1-shuo1-suo1-suo1)
Complex,Retroflex-Dental: sh-c,说,shuo1,692,撮,cuo1,1,Hard,Alternating: 说说撮说撮撮 (shuo1-shuo1-cuo1-shuo1-cuo1-cuo1)
Complex,Retroflex-Dental: zh-s,这,zhe4,574,色,se4,84,Hard,Alternating: 这这色这色色 (zhe4-zhe4-se4-zhe4-se4-se4)
Complex,Retroflex-Dental: sh-z,上,shang4,620,脏,zang4,8,Hard,Alternating: 上上脏上脏脏 (shang4-shang4-zang4-shang4-zang4-zang4)
Complex,Retroflex-Dental: zh-c,这,zhe4,574,侧,ce4,4,Hard,Alternating: 这这侧这侧侧 (zhe4-zhe4-ce4-zhe4-ce4-ce4)
Complex,Retroflex-Dental: zh-c,这,zhe4,574,厕,ce4,1,Hard,Alternating: 这这厕这厕厕 (zhe4-zhe4-ce4-zhe4-ce4-ce4)
Complex,Retroflex-Dental: zh-s,这,zhe4,574,瑟,se4,1,Hard,Alternating: 这这瑟这瑟瑟 (zhe4-zhe4-se4-zhe4-se4-se4)
Complex,Retroflex-Dental: zh-c,这,zhe4,574,策,ce4,1,Hard,Alternating: 这这策这策策 (zhe4-zhe4-ce4-zhe4-ce4-ce4)
Complex,Retroflex-Palatal: zh-q,只,zhi3,239,起,qi3,231,Hard,Alternating: 只只起只起起 (zhi3-zhi3-qi3-zhi3-qi3-qi3)
Complex,Retroflex-Palatal: zh-j,只,zhi3,239,己,ji3,153,Hard,Alternating: 只只己只己己 (zhi3-zhi3-ji3-zhi3-ji3-ji3)
Complex,Palatal-Retroflex: q-zh,去,qu4,270,住,zhu4,110,Hard,Alternating: 去去住去住住 (qu4-qu4-zhu4-qu4-zhu4-zhu4)
Complex,Dental-Retroflex: z-sh,走,zou3,206,手,shou3,163,Hard,Alternating: 走走手走手手 (zou3-zou3-shou3-zou3-shou3-shou3)
Complex,Palatal-Dental: q-s,去,qu4,270,诉,su4,94,Hard,Alternating: 去去诉去诉诉 (qu4-qu4-su4-qu4-su4-su4)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,斯,si1,156,Hard,Alternating: 知知斯知斯斯 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Retroflex-Palatal: zh-j,只,zhi3,239,几,ji3,119,Hard,Alternating: 只只几只几几 (zhi3-zhi3-ji3-zhi3-ji3-ji3)
Complex,Dental-Palatal: z-q,自,zi4,175,气,qi4,173,Hard,Alternating: 自自气自气气 (zi4-zi4-qi4-zi4-qi4-qi4)
Complex,Retroflex-Dental: sh-z,声,sheng1,338,增,zeng1,1,Hard,Alternating: 声声增声增增 (sheng1-sheng1-zeng1-sheng1-zeng1-zeng1)
Complex,Retroflex-Palatal: sh-q,时,shi2,195,奇,qi2,136,Hard,Alternating: 时时奇时奇奇 (shi2-shi2-qi2-shi2-qi2-qi2)
Complex,Retroflex-Palatal: ch-x,出,chu1,282,需,xu1,36,Hard,Alternating: 出出需出需需 (chu1-chu1-xu1-chu1-xu1-xu1)
Complex,Dental-Retroflex: z-sh,自,zi4,175,事,shi4,139,Hard,Alternating: 自自事自事事 (zi4-zi4-shi4-zi4-shi4-shi4)
Complex,Palatal-Retroflex: q-sh,气,qi4,173,事,shi4,139,Hard,Alternating: 气气事气事事 (qi4-qi4-shi4-qi4-shi4-shi4)
Complex,Palatal-Retroflex: q-zh,去,qu4,270,注,zhu4,40,Hard,Alternating: 去去注去注注 (qu4-qu4-zhu4-qu4-zhu4-zhu4)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,西,xi1,100,Hard,Alternating: 知知西知西西 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Retroflex-Dental: ch-c,出,chu1,282,粗,cu1,22,Hard,Alternating: 出出粗出粗粗 (chu1-chu1-cu1-chu1-cu1-cu1)
Complex,Retroflex-Palatal: ch-x,出,chu1,282,须,xu1,22,Hard,Alternating: 出出须出须须 (chu1-chu1-xu1-chu1-xu1-xu1)
Complex,Retroflex-Dental: zh-s,只,zhi3,239,死,si3,63,Hard,Alternating: 只只死只死死 (zhi3-zhi3-si3-zhi3-si3-si3)
Complex,Palatal-Retroflex: q-sh,去,qu4,270,树,shu4,31,Hard,Alternating: 去去树去树树 (qu4-qu4-shu4-qu4-shu4-shu4)
Complex,Palatal-Retroflex: q-sh,去,qu4,270,术,shu4,30,Hard,Alternating: 去去术去术术 (qu4-qu4-shu4-qu4-shu4-shu4)
Complex,Palatal-Retroflex: q-ch,去,qu4,270,处,chu4,27,Hard,Alternating: 去去处去处处 (qu4-qu4-chu4-qu4-chu4-chu4)
Complex,Palatal-Dental: q-s,起,qi3,231,死,si3,63,Hard,Alternating: 起起死起死死 (qi3-qi3-si3-qi3-si3-si3)
