Order Number,Item,Pinyin,Frequency
10001,又 传来,you4 chuan2 lai2,8
10002,又 像,you4 xiang4,8
10003,严肃 的,yan2 su4 de,8
10004,对 魔法,dui4 mo2 fa3,8
10005,我们 刚才,wo3 men gang1 cai2,8
10006,赫敏 紧张 地,he4 min3 jin3 zhang1 di4,8
10007,又 变成 了,you4 bian4 cheng2 le,8
10008,又 听见,you4 ting1 jian4,8
10009,赫敏 气愤 地 说,he4 min3 qi4 fen4 di4 shuo1,8
10010,赫敏 脸上,he4 min3 lian3 shang4,8
10011,赫敏 还,he4 min3 hai2,8
10012,我们 怎么办,wo3 men zen3 me ban4,8
10013,我们 才,wo3 men cai2,8
10014,我们 最好,wo3 men zui4 hao3,8
10015,又 小,you4 xiao3,8
10016,我们 给,wo3 men gei3,8
10017,他 上 次,ta1 shang4 ci4,8
10018,我们 认为,wo3 men ren4 wei2,8
10019,我们 赢,wo3 men ying2,8
10020,我们 还 有,wo3 men hai2 you3,8
10021,我们 都 知道,wo3 men dou1 zhi1 dao4,8
10022,戴 在,dai4 zai4,8
10023,他 不 应该,ta1 bu4 ying1 gai1,8
10024,上 写 着,shang4 xie3 zhe,8
10025,所 房子,suo3 fang2 zi,8
10026,所 能,suo3 neng2,8
10027,所以 他们,suo3 yi3 ta1 men,8
10028,所以 我们,suo3 yi3 wo3 men,8
10029,一 条 大,yi1 tiao2 da4,8
10030,又 说话,you4 shuo1 hua4,8
10031,又 说话 了,you4 shuo1 hua4 le,8
10032,走下 楼梯,zou3 xia4 lou2 ti1,8
10033,手 来,shou3 lai2,8
10034,不 能 怪,bu4 neng2 guai4,8
10035,走到 了,zou3 dao4 le,8
10036,又 高 又,you4 gao1 you4,8
10037,才 使,cai2 shi3,8
10038,才 开始,cai2 kai1 shi3,8
10039,才 让,cai2 rang4,8
10040,一 句 话 也,yi1 ju4 hua4 ye3,8
10041,打 了 个 寒战,da3 le ge4 han2 zhan4,8
10042,打 在,da3 zai4,8
10043,打 过,da3 guo4,8
10044,发出 一 种,fa1 chu1 yi1 zhong3,8
10045,错过 了,cuo4 guo4 le,8
10046,一 条 狗,yi1 tiao2 gou3,8
10047,越 升 越,yue4 sheng1 yue4,8
10048,他 从没,ta1 cong2 mei2,8
10049,扬起 眉毛,yang2 qi3 mei2 mao2,8
10050,扯 了,che3 le,8
10051,他 以前 从,ta1 yi3 qian2 cong2,8
10052,他 以前 从 没,ta1 yi3 qian2 cong2 mei2,8
10053,他 仿佛,ta1 fang3 fu2,8
10054,越 好,yue4 hao3,8
10055,了 闪闪,le shan3 shan3,8
10056,找到 我,zhao3 dao4 wo3,8
10057,把 两,ba3 liang3,8
10058,小 火龙,xiao3 huo3 long2,8
10059,把 他 拉 了,ba3 ta1 la1 le,8
10060,一 个 他,yi1 ge4 ta1,8
