Order Number,Item,Frequency
1,一 个,2597
2,他 的,1857
3,地 说,1663
4,了 一,1293
5,不 是,961
6,哈利 说,698
7,是 一,685
8,的 一,651
9,我 的,646
10,的 声音,596
11,有 一,560
12,哈利 的,559
13,一 只,553
14,小 天狼星,550
15,不 会,545
16,个 人,515
17,的 人,512
18,不 能,510
19,你 的,493
20,着 一,492
21,这 是,471
22,邓布 利多,466
23,罗恩 说,461
24,是 不,460
25,的 那,456
26,望 着,453
27,和 赫敏,448
28,看 着,444
29,韦斯莱 先生,428
30,不 知道,426
31,着 他,425
32,一 声,422
33,也 不,416
34,自己 的,413
35,麦格 教授,405
36,还 有,404
37,弗农 姨父,401
38,他 说,399
39,就 是,396
40,了 他,394
41,我 不,390
42,哈利 和,383
43,上 的,382
44,罗恩 和,371
45,韦斯莱 夫人,370
46,了 起来,368
47,的 东西,368
48,她 的,366
49,把 他,356
50,说 着,351
51,一 种,349
52,在 他,348
53,里 的,347
54,我 想,345
55,多 比,340
56,一 条,330
57,着 哈利,328
58,他们 的,323
59,是 不 是,317
60,两 个,313
61,罗恩 和 赫敏,303
62,就 在,303
63,的 时候,298
64,把 它,295
65,他 在,289
66,有 人,288
67,是 什么,282
68,和 罗恩,279
69,的 是,277
70,是 一 个,277
71,盯 着,275
72,好 了,274
73,他 不,270
74,一 把,269
75,格兰芬 多,261
76,了 一 个,258
77,地 问,256
78,那 个,255
79,赫敏 说,252
80,的 眼睛,251
81,不 要,248
82,都 是,247
83,这 个,247
84,的 事,242
85,了 一下,241
86,是 啊,241
87,那 只,236
88,手 里,231
89,是 他,227
90,那 是,225
91,的 脸,223
92,坐 在,223
93,一 次,221
94,他 是,220
95,的 魔杖,220
96,一 大,220
97,的 地方,220
98,也 没有,220
99,人 都,218
100,是 我,216
101,几 个,216
102,就 会,214
103,走 了,214
104,但 他,212
105,到 了,209
106,你 不,207
107,在 这里,206
108,在 一,206
109,是 个,203
110,是 在,200
111,的 事情,198
112,哈利 和 罗恩,196
113,他 把,196
