Order Number,Item,Pinyin,Frequency
1,的,de,3678
2,一,yi1,1982
3,了,le,1821
4,他,ta1,1636
5,地,di4,1162
6,不,bu4,1117
7,在,zai4,1087
8,着,zhe,1016
9,是,shi4,1015
10,个,ge4,814
11,利,li4,800
12,我,wo3,789
13,哈,ha1,718
14,说,shuo1,692
15,们,men,653
16,有,you3,648
17,上,shang4,620
18,你,ni3,614
19,里,li3,610
20,这,zhe4,574
21,来,lai2,525
22,那,na4,477
23,人,ren2,476
24,到,dao4,469
25,么,me,454
26,把,ba3,433
27,看,kan4,419
28,得,de2,399
29,没,mei2,371
30,和,he2,358
31,大,da4,356
32,就,jiu4,352
33,声,sheng1,338
34,道,dao4,321
35,都,dou1,315
36,过,guo4,299
37,会,hui4,294
38,头,tou2,293
39,出,chu1,282
40,多,duo1,280
41,魔,mo2,275
42,要,yao4,272
43,去,qu4,270
44,子,zi,269
45,什,shen2,268
46,想,xiang3,264
47,也,ye3,260
48,下,xia4,253
49,见,jian4,253
50,能,neng2,244
51,只,zhi3,239
52,小,xiao3,239
53,从,cong2,237
54,起,qi3,231
55,生,sheng1,229
56,可,ke3,222
57,好,hao3,218
58,格,ge2,218
59,很,hen3,216
60,对,dui4,208
61,走,zou3,206
62,为,wei4,205
63,她,ta1,205
64,知,zhi1,205
65,罗,luo2,204
66,眼,yan3,201
67,恩,en1,195
68,时,shi2,195
69,又,you4,191
70,还,hai2,189
71,开,kai1,184
72,天,tian1,178
73,学,xue2,175
74,自,zi4,175
75,法,fa3,174
76,气,qi4,173
77,然,ran2,173
78,用,yong4,171
79,后,hou4,170
80,以,yi3,169
81,身,shen1,169
82,赫,he4,167
83,望,wang4,166
84,发,fa1,165
85,面,mian4,164
86,手,shou3,163
87,样,yang4,158
88,斯,si1,156
89,己,ji3,153
90,敏,min3,151
91,像,xiang4,148
92,它,ta1,148
93,最,zui4,148
94,事,shi4,139
95,意,yi4,138
96,教,jiao4,138
97,奇,qi2,136
98,脸,lian3,133
